Antargaz-Finagaz
Régie municipale d'électricité de Merens les Vals
Régie municipale d'électricité de Miramont les Comminges
Régie municipale d'électricité de Montesquieu-Volvestre
Régie municipale d'électricité de Pontamafrey-Montpascal
Régie municipale d'électricité de Quie
Régie municipale d'électricité de Saint Martin sur La Chambre
Régie municipale d'électricité de Salins les Bains
Régie municipale d'électricité de Saverdun
Régie municipale d'électricité de Tarascon sur Ariège
Régie municipale d'électricité de Tours en Savoie
Régie municipale d'électricité de Varilhes
Régie municipale d'électricité de Vicdessos
Régie municipale d'électricité de Villarodin-Bourget
Régie municipale d'électricité et de télédistribution
Régie municipale d'électricité et de télédistribution de Marange-Silvange
Régie municipale d'électricité et de télédistribution de Rombas
Régie municipale d'électricité et de télédistribution de Talange
Régie municipale d'energie électrique de Quillan
Régie municipale de Presle
Régie municipale de Saint-Avre
Régie municipale électrique de Saint Leonard de Noblat
Régie municipale électrique Les Houches
Régie municipale gaz électricité de Bonneville
Régie municipale gaz-électricité de Carmaux
Régie municipale gaz électricité de Sallanches
Régie municipale multiservices de La Réole
Régie SDED Erôme
Régie SDED Erôme-Gervans
Régie SDED Gervans
Régie Services Energie
Régies municipales d'électricité de Cazeres
Régies municipales électriques de Capvern
Réseau GDS
Réséda
RME et de télédistribution de Clouange
RTE
SAEML Energies Services Lannemezan
SAEML Hunelec
SAIC Pers Loisinges
SDED d'Erôme
SEM Beauvois Distrelec
Séolis
S.E.R. Des cantons de Lassigny et limitrophes
SICAE de Carnin
SICAE de l'Aisne
SICAE de la Somme et du Cambraisis
SICAE de la vallée du Sausseron
SICAE de Precy-Saint-Martin
SICAE des cantons de la Ferté-Alais et limitrophes
SICAE du Carmausin
SICAE ELY
SICAE Est
SICAE Oise
SICAP
Sivom d'Energies du Pays Toy
Société d'intérêt collectif agricole
SOREA
Sorégies
SRD
Strasbourg Électricité Réseaux
Syndicat d'électricité synergie Maurienne
Syndicat des Energies Electriques de Tarentaise
Syndicat intercommunal d'électricité de Labergement Sainte Marie
Synelva
Teréga
TIGF
URM (Metz)
Usines électrique municipale (UEM) Neuf-Brisach
Usines municipales d'Erstein
Veolia eau
Vialis
